cve_id,published_ts,cvss3_base_score,problemtype_json,repo_url,repo_name
CVE-2017-15139,2018-08-27 17:29:00+00,7.5,"[{'description': [{'lang': 'en', 'value': 'CWE-200'}]}]",https://github.com/openstack/cinder,openstack/cinder
CVE-2017-15612,2017-10-19 08:29:00+00,6.1,"[{'description': [{'lang': 'en', 'value': 'CWE-79'}]}]",https://github.com/lepture/mistune,lepture/mistune
CVE-2017-15720,2019-01-23 17:29:00+00,8.8,"[{'description': [{'lang': 'en', 'value': 'CWE-20'}]}]",https://github.com/apache/airflow,apache/airflow
CVE-2017-17051,2017-12-05 18:29:00+00,8.6,"[{'description': [{'lang': 'en', 'value': 'CWE-400'}]}]",https://github.com/openstack/nova,openstack/nova
CVE-2015-20107,2022-04-13 16:15:00+00,7.6,"[{'description': [{'lang': 'en', 'value': 'CWE-77'}]}]",https://github.com/python/cpython,python/cpython
CVE-2015-20107,2022-04-13 16:15:00+00,7.6,"[{'description': [{'lang': 'en', 'value': 'CWE-77'}]}]",https://github.com/python/cpython,python/cpython
CVE-2015-20107,2022-04-13 16:15:00+00,7.6,"[{'description': [{'lang': 'en', 'value': 'CWE-77'}]}]",https://github.com/python/cpython,python/cpython
CVE-2015-20107,2022-04-13 16:15:00+00,7.6,"[{'description': [{'lang': 'en', 'value': 'CWE-77'}]}]",https://github.com/python/cpython,python/cpython
CVE-2015-2687,2017-08-09 18:29:00+00,4.7,"[{'description': [{'lang': 'en', 'value': 'CWE-284'}]}]",https://github.com/openstack/nova,openstack/nova
CVE-2015-3156,2017-08-11 21:29:00+00,5.5,"[{'description': [{'lang': 'en', 'value': 'CWE-59'}]}]",https://github.com/openstack/trove,openstack/trove
CVE-2015-3220,2017-06-13 16:29:00+00,7.5,"[{'description': [{'lang': 'en', 'value': 'CWE-119'}]}]",https://github.com/trevp/tlslite,trevp/tlslite
CVE-2015-3171,2017-07-25 18:29:00+00,5.5,"[{'description': [{'lang': 'en', 'value': 'CWE-200'}]}]",https://github.com/sosreport/sos,sosreport/sos
CVE-2015-3219,2015-08-20 20:59:00+00,nan,"[{'description': [{'lang': 'en', 'value': 'CWE-79'}]}]",https://github.com/openstack/horizon,openstack/horizon
CVE-2015-3241,2015-09-08 15:59:00+00,nan,"[{'description': [{'lang': 'en', 'value': 'CWE-399'}]}]",https://github.com/openstack/nova,openstack/nova
CVE-2016-3691,2017-04-24 18:59:00+00,8.8,"[{'description': [{'lang': 'en', 'value': 'CWE-352'}]}]",https://github.com/NexMirror/Kallithea,NexMirror/Kallithea
CVE-2015-5081,2017-08-18 18:29:00+00,8.8,"[{'description': [{'lang': 'en', 'value': 'CWE-352'}]}]",https://github.com/django-cms/django-cms,django-cms/django-cms
CVE-2015-5143,2015-07-14 17:59:00+00,nan,"[{'description': [{'lang': 'en', 'value': 'CWE-399'}]}]",https://github.com/django/django,django/django
CVE-2015-5144,2015-07-14 17:59:00+00,nan,"[{'description': [{'lang': 'en', 'value': 'CWE-20'}]}]",https://github.com/django/django,django/django
CVE-2015-5145,2015-07-14 17:59:00+00,nan,"[{'description': [{'lang': 'en', 'value': 'CWE-399'}]}]",https://github.com/django/django,django/django
CVE-2015-5159,2018-10-30 18:29:00+00,7.5,"[{'description': [{'lang': 'en', 'value': 'CWE-20'}]}]",https://github.com/latchset/kdcproxy,latchset/kdcproxy
CVE-2015-5162,2016-10-07 14:59:00+00,7.5,"[{'description': [{'lang': 'en', 'value': 'CWE-399'}]}]",https://github.com/openstack/cinder,openstack/cinder
CVE-2015-5163,2015-08-19 15:59:00+00,nan,"[{'description': [{'lang': 'en', 'value': 'CWE-200'}]}]",https://github.com/openstack/glance,openstack/glance
CVE-2015-5223,2015-10-26 17:59:00+00,nan,"[{'description': [{'lang': 'en', 'value': 'CWE-200'}]}]",https://github.com/openstack/swift,openstack/swift
CVE-2015-5223,2015-10-26 17:59:00+00,nan,"[{'description': [{'lang': 'en', 'value': 'CWE-200'}]}]",https://github.com/openstack/swift,openstack/swift
CVE-2015-5240,2015-10-27 16:59:00+00,nan,"[{'description': [{'lang': 'en', 'value': 'CWE-362'}]}]",https://github.com/openstack/neutron,openstack/neutron
CVE-2015-5963,2015-08-24 14:59:00+00,nan,"[{'description': [{'lang': 'en', 'value': 'CWE-399'}]}]",https://github.com/django/django,django/django
CVE-2015-5963,2015-08-24 14:59:00+00,nan,"[{'description': [{'lang': 'en', 'value': 'CWE-399'}]}]",https://github.com/django/django,django/django
CVE-2015-5964,2015-08-24 14:59:00+00,nan,"[{'description': [{'lang': 'en', 'value': 'CWE-399'}]}]",https://github.com/django/django,django/django
CVE-2015-6918,2017-10-10 16:29:00+00,6.3,"[{'description': [{'lang': 'en', 'value': 'CWE-200'}]}]",https://github.com/saltstack/salt,saltstack/salt
CVE-2015-6938,2015-09-21 19:59:00+00,nan,"[{'description': [{'lang': 'en', 'value': 'CWE-79'}]}]",https://github.com/ipython/ipython,ipython/ipython
CVE-2015-6941,2017-08-09 16:29:00+00,9.8,"[{'description': [{'lang': 'en', 'value': 'CWE-534'}]}]",https://github.com/saltstack/salt,saltstack/salt
CVE-2015-6941,2017-08-09 16:29:00+00,9.8,"[{'description': [{'lang': 'en', 'value': 'CWE-534'}]}]",https://github.com/twangboy/salt,twangboy/salt
CVE-2015-6961,2017-10-18 20:29:00+00,6.1,"[{'description': [{'lang': 'en', 'value': 'CWE-601'}]}]",https://github.com/web2py/web2py,web2py/web2py
CVE-2015-8549,2020-01-15 15:15:00+00,7.1,"[{'description': [{'lang': 'en', 'value': 'CWE-611'}]}]",https://github.com/hydralabs/pyamf,hydralabs/pyamf
CVE-2015-8549,2020-01-15 15:15:00+00,7.1,"[{'description': [{'lang': 'en', 'value': 'CWE-611'}]}]",https://github.com/hydralabs/pyamf,hydralabs/pyamf
CVE-2015-8557,2016-01-08 20:59:00+00,9.0,"[{'description': [{'lang': 'en', 'value': 'CWE-78'}]}]",https://github.com/pygments/pygments,pygments/pygments
CVE-2015-8612,2016-01-08 19:59:00+00,8.4,"[{'description': [{'lang': 'en', 'value': 'CWE-264'}]}]",https://github.com/blueman-project/blueman,blueman-project/blueman
CVE-2016-1000001,2016-10-07 18:59:00+00,7.4,"[{'description': [{'lang': 'en', 'value': 'CWE-601'}]}]",https://github.com/puiterwijk/flask-oidc,puiterwijk/flask-oidc
CVE-2016-1000003,2016-10-07 18:59:00+00,9.8,"[{'description': [{'lang': 'en', 'value': 'CWE-94'}]}]",https://github.com/fedora-infra/mirrormanager2,fedora-infra/mirrormanager2
CVE-2016-1000003,2016-10-07 18:59:00+00,9.8,"[{'description': [{'lang': 'en', 'value': 'CWE-94'}]}]",https://github.com/fedora-infra/mirrormanager2,fedora-infra/mirrormanager2
CVE-2016-1000110,2019-11-27 17:15:00+00,6.1,"[{'description': [{'lang': 'en', 'value': 'CWE-601'}]}]",https://github.com/python/cpython,python/cpython
CVE-2016-1000110,2019-11-27 17:15:00+00,6.1,"[{'description': [{'lang': 'en', 'value': 'CWE-601'}]}]",https://github.com/python/cpython,python/cpython
CVE-2016-1000110,2019-11-27 17:15:00+00,6.1,"[{'description': [{'lang': 'en', 'value': 'CWE-601'}]}]",https://github.com/python/cpython,python/cpython
CVE-2016-1000110,2019-11-27 17:15:00+00,6.1,"[{'description': [{'lang': 'en', 'value': 'CWE-601'}]}]",https://github.com/python/cpython,python/cpython
CVE-2016-1000111,2020-03-11 20:15:00+00,5.3,"[{'description': [{'lang': 'en', 'value': 'CWE-425'}]}]",https://github.com/twisted/twisted,twisted/twisted
CVE-2016-10376,2017-05-28 00:29:00+00,4.5,"[{'description': [{'lang': 'en', 'value': 'CWE-310'}]}]",https://github.com/gajim/gajim,gajim/gajim
CVE-2016-1494,2016-01-13 15:59:00+00,5.3,"[{'description': [{'lang': 'en', 'value': 'CWE-20'}]}]",https://github.com/sybrenstuvel/python-rsa,sybrenstuvel/python-rsa
CVE-2016-1505,2016-02-03 18:59:00+00,10.0,"[{'description': [{'lang': 'en', 'value': 'CWE-21'}]}]",https://github.com/Kozea/Radicale,Kozea/Radicale
CVE-2016-1505,2016-02-03 18:59:00+00,10.0,"[{'description': [{'lang': 'en', 'value': 'CWE-21'}]}]",https://github.com/Unrud/Radicale,Unrud/Radicale
CVE-2016-2140,2016-04-12 14:59:00+00,5.3,"[{'description': [{'lang': 'en', 'value': 'CWE-200'}]}]",https://github.com/openstack/nova,openstack/nova
CVE-2016-2140,2016-04-12 14:59:00+00,5.3,"[{'description': [{'lang': 'en', 'value': 'CWE-200'}]}]",https://github.com/openstack/nova,openstack/nova
CVE-2016-4426,2022-07-28 17:15:00+00,4.3,"[{'description': [{'lang': 'en', 'value': 'NVD-CWE-noinfo'}]}]",https://github.com/zulip/zulip,zulip/zulip
CVE-2016-4427,2022-07-28 17:15:00+00,7.5,"[{'description': [{'lang': 'en', 'value': 'NVD-CWE-noinfo'}]}]",https://github.com/zulip/zulip,zulip/zulip
CVE-2016-4428,2016-07-12 19:59:00+00,5.4,"[{'description': [{'lang': 'en', 'value': 'CWE-79'}]}]",https://github.com/openstack/horizon,openstack/horizon
CVE-2016-4444,2017-04-11 18:59:00+00,7.0,"[{'description': [{'lang': 'en', 'value': 'CWE-77'}]}]",https://github.com/fedora-selinux/setroubleshoot,fedora-selinux/setroubleshoot
CVE-2016-4455,2017-04-14 18:59:00+00,3.3,"[{'description': [{'lang': 'en', 'value': 'CWE-264'}]}]",https://github.com/candlepin/subscription-manager,candlepin/subscription-manager
CVE-2016-4455,2017-04-14 18:59:00+00,3.3,"[{'description': [{'lang': 'en', 'value': 'CWE-264'}]}]",https://github.com/candlepin/subscription-manager,candlepin/subscription-manager
CVE-2016-4445,2017-04-11 18:59:00+00,7.0,"[{'description': [{'lang': 'en', 'value': 'CWE-77'}]}]",https://github.com/fedora-selinux/setroubleshoot,fedora-selinux/setroubleshoot
CVE-2016-4446,2017-04-11 18:59:00+00,7.0,"[{'description': [{'lang': 'en', 'value': 'CWE-77'}]}]",https://github.com/fedora-selinux/setroubleshoot,fedora-selinux/setroubleshoot
CVE-2016-5363,2016-06-17 15:59:00+00,8.2,"[{'description': [{'lang': 'en', 'value': 'CWE-254'}]}]",https://github.com/openstack/neutron,openstack/neutron
CVE-2016-5404,2016-09-07 20:59:00+00,6.5,"[{'description': [{'lang': 'en', 'value': 'CWE-284'}]}]",https://github.com/freeipa/freeipa,freeipa/freeipa
CVE-2016-5410,2017-04-19 14:59:00+00,5.5,"[{'description': [{'lang': 'en', 'value': 'CWE-287'}]}]",https://github.com/firewalld/firewalld,firewalld/firewalld
CVE-2016-5414,2017-06-27 20:29:00+00,7.5,"[{'description': [{'lang': 'en', 'value': 'CWE-284'}]}]",https://github.com/freeipa/freeipa,freeipa/freeipa
